Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,is_dnf,Description,Genres_Enriched,All_Tags
6375833,"Gotham Central, Book Two: Jokers and Madmen",Ed Brubaker,"Brubaker, Ed","Greg Rucka, Michael Lark, Greg Scott, Brian Hurtt, Stefano Gaudiano",1401225217.0,9781401225216.0,4,DC Comics,Hardcover,288.0,2009.0,2005.0,2026/04/07,2026/03/21,"comics, read-2026","comics (#98), read-2026 (#9)",read,,,,1,0,False,Descrição não disponível (API 404),"comics, read-2026","comics, read-2026|comics, read-2026"
3316474,"Gotham Central, Book One: In the Line of Duty",Ed Brubaker,"Brubaker, Ed","Greg Rucka, Michael Lark, Lawrence Block, Kano",1401219233.0,9781401219239.0,4,DC Comics,Hardcover,240.0,2008.0,2003.0,2026/03/21,2024/01/03,"comics, read-2026","comics (#43), read-2026 (#8)",read,,,,1,0,False,Descrição não disponível (API 404),"comics, read-2026","comics, read-2026|comics, read-2026"
216970870,Serial Killer Games,Kate  Posey,"Posey, Kate",,593818512.0,9780593818510.0,4,Berkley,Paperback,384.0,2025.0,2025.0,2026/03/09,2025/09/21,"romance, read-2026","romance (#94), read-2026 (#7)",read,"esse livro me enganou tantas vezes, eu amei! os personagens são muito interessantes e engraçados! o romance é fofo demais e o enredo foi o que mais me prendeu, impossível não ser surpreendida por essa história.",,,1,0,False,Descrição não disponível (API 404),"romance, read-2026","romance, read-2026|romance, read-2026"
30144474,"Batgirl, Vol. 3: Point Blank",Kelley Puckett,"Puckett, Kelley",Various,1401265855.0,9781401265854.0,4,DC Comics,Paperback,288.0,2017.0,2003.0,2026/02/22,2026/02/15,comics,comics (#96),read,,,,1,0,False,Descrição não disponível (API 404),comics,comics|comics
27405513,"Batgirl, Vol. 2: To the Death",Kelley Puckett,"Puckett, Kelley",Various,1401263526.0,9781401263522.0,4,DC Comics,Paperback,320.0,2016.0,2002.0,2026/02/21,2026/02/15,comics,comics (#95),read,,,,1,0,False,Descrição não disponível (API 404),comics,comics|comics
25810117,"Batgirl, Vol. 1: Silent Knight",Kelley Puckett,"Puckett, Kelley","Scott E.  Peterson, Damion Scott, Chuck Dixon, Koi Turnbull, Dale Eaglesham, Mike Deodato, Robert Campanella, Pablo Raimondi",1401260721.0,9781401260729.0,4,DC Comics,Paperback,328.0,2001.0,2001.0,2026/02/20,2026/02/15,"comics, read-2026","comics (#97), read-2026 (#3)",read,"te amo cassandra cain!!! tem tantas histórias lindas, a arte deixa a desejar em alguns momentos (efeito dos anos 2000), mas é bonita! a relação da cass e da barbara é uma das minhas partes preferidas",,,1,0,False,Descrição não disponível (API 404),"comics, read-2026","comics, read-2026|comics, read-2026"
24507092,To Hell and Back: The Last Train from Hiroshima (Asia/Pacific/Perspectives),Charles Pellegrino,"Pellegrino, Charles",,1442250585.0,9781442250581.0,5,Rowman & Littlefield Publishers,Hardcover,432.0,2015.0,2010.0,2026/02/26,2026/02/23,nonfiction,nonfiction (#18),read,"muito bem escrito, partiu meu coração! é aterrorizante pensar que algo assim já aconteceu e pode acontecer de novo. esse livro me fez pensar muito, acho que todos deveriam ler, apesar de ser tão pesado.",,,1,0,False,Descrição não disponível (API 404),nonfiction,nonfiction|nonfiction
61049,Autobiography of Red,Anne Carson,"Carson, Anne",Stesichorus,37570129.0,9780375701290.0,5,Vintage Books,Paperback,160.0,1999.0,1998.0,2026/02/22,2024/09/16,read-2026,read-2026 (#6),read,"eu amei, é muito emocionante e surpreendente! o tipo de livro que você relê mil vezes e descobre coisas novas. ",,,1,0,False,Descrição não disponível (API 404),read-2026,read-2026|read-2026
18691062,"Batman: Bruce Wayne, Fugitive",Greg Rucka,"Rucka, Greg","Ed Brubaker, Devin Grayson, Chuck Dixon, Kelley Puckett, Rick Leonardi, Michael Golden, Brian Bolland, Trevor McCarthy, Damion Scott, Scott McDaniel, Dave Ross, William Rosado, Roger Robinson, Sean Phillips, Phil Noto, Steve Leiber, Sergio Cariello, Dennis O'Neil, Geoff Johns",1401246826.0,9781401246822.0,4,DC Comics,Paperback,418.0,2014.0,2002.0,2026/02/15,2024/03/31,"comics, read-2026","comics (#52), read-2026 (#5)",read,"é um final muito digno para esse arco, eu simplesmente amei a exploração do personagem do batman e das suas relações com as pessoas na vida dele. pra mim, as melhores histórias são as que não tem medo de fazer isso, de reconhecer os defeitos dele sem perder de vista quem ele é. e eu defenderia a cassandra cain com a minha vida!!",,,1,0,False,Descrição não disponível (API 404),"comics, read-2026","comics, read-2026|comics, read-2026"
106059,"Batman: Bruce Wayne, Murderer?",Greg Rucka,"Rucka, Greg","Chuck Dixon, Steve Lieber, Jesse Delperdang, Trevor McCarthy, Scott McDaniel, Roger Robinson, Damion Scott, Pete Woods, Ed Brubaker, Devin Grayson, Kelley Puckett, Rick Burchett, Rick Leonardi",1563899132.0,9781563899133.0,4,DC Comics,Paperback,552.0,2002.0,2002.0,2026/02/13,2024/03/31,read-2026,read-2026 (#4),read,"maravilhosa, gosto muito das histórias do universo do batman dos anos 2000. tem tudo que eu gosto nas hqs do batman: um mistério muito envolvente, os personagens incríveis, uma arte linda e a atmosfera de gotham que eu amo tanto. estou muito ansiosa pra ler o desfecho dessa história!",,,1,0,False,Descrição não disponível (API 404),read-2026,read-2026|read-2026
247292749,"My Dear Detective: Mitsuko’s Case Files, Vol. 7",Natsumi Ito,"Ito, Natsumi",Arthur Miura,1960186310.0,9781960186317.0,5,Omoi,Kindle Edition,,2026.0,,2026/02/04,2026/02/04,"mangas, read-2026","mangas (#151), read-2026 (#2)",read,"eu amo essa história tanto, mitsuki e saku são tão especiais!!!",,,1,0,False,Descrição não disponível (API 404),"mangas, read-2026","mangas, read-2026|mangas, read-2026"
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,,,5,Saga Press,ebook,209.0,2019.0,2019.0,2020/01/02,2020/12/15,read-2020,read-2020 (#1),read,,,,2,0,False,Descrição não disponível (API 404),read-2020,read-2020|read-2020
204642474,Catwoman: Trail of the Catwoman,Ed Brubaker,"Brubaker, Ed",Darwyn Cooke,1779527284.0,9781779527288.0,4,DC Comics,Paperback,336.0,2024.0,2008.0,2026/01/16,2026/01/11,read-2026,read-2026 (#1),read,"muito bom! a selina é uma personagem que apaixona rapidamente pelo seu jeito sarcástico, forte e inteligente e todos os outros personagens também são muito distintos e interessantes.<br/>o enredo não deixa a desejar, é uma história muito envolvente sobre corrupção e as pessoas que são esquecidas e ignoradas pela sociedade, eu achei a mulher-gato uma grande justiceira, amei a jornada dela.<br/>minha única crítica é que o último arco nos deixa querendo mais, mas como introdução da personagem imagino que é essa a intenção. ",,,1,0,False,Descrição não disponível (API 404),read-2026,read-2026|read-2026
218689177,Great Big Beautiful Life,Emily Henry,"Henry, Emily",Julia  Whelan,,,4,Penguin Audio,Audiobook,12.0,2025.0,2025.0,2025/12/06,2024/10/16,"romance, read-2025","romance (#84), read-2025 (#45)",read,"what a beautiful book! definitely one of my favorites among emily henry’s books. after happy place and funny story i thought maybe i wouldn’t be into it anymore, but this book!!! this book!! the story is so interesting, the characters are fleshed out and you can’t stop rooting for them. the audiobook experience is flawless <3",,,1,0,False,Descrição não disponível (API 404),"romance, read-2025","romance, read-2025|romance, read-2025"
60811826,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline","Ros Schwartz, Sophie Mackintosh",1945492600.0,9781945492600.0,4,Transit Books,Paperback,173.0,2022.0,1995.0,2025/01/26,2025/01/26,read-2025,read-2025 (#3),read,"once when i was a child i was running down a corridor and fell face down, all the air vanished from my body and i had to stay still for a couple of minutes until i could breathe again. i who have never know men feels like that experience. <br/><br/>the book is very direct and sometimes even a bit funny in its absurdity, but also quietly sad. it’s weirdly hopeful, despite the fact that all hope is lost! it’s unlike anything i can remember reading before and i really loved it.",,,1,0,False,Descrição não disponível (API 404),read-2025,read-2025|read-2025
39325105,"Harrow the Ninth (The Locked Tomb, #2)",Tamsyn Muir,"Muir, Tamsyn",,1250313228.0,9781250313225.0,5,Tor.com,Hardcover,512.0,2020.0,2020.0,2023/06/15,2023/05/26,read-2023,read-2023 (#13),read,,,,2,0,False,Descrição não disponível (API 404),read-2023,read-2023|read-2023
42036538,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,1250313198.0,9781250313195.0,5,Tor,Hardcover,448.0,2019.0,2019.0,2023/05/26,2022/01/30,"read-2023, favorites","read-2023 (#12), favorites (#8)",read,,,,2,0,False,Descrição não disponível (API 404),"read-2023, favorites","read-2023, favorites|read-2023, favorites"
242387852,SAKAMOTO DAYS 24,Yuto Suzuki,"Suzuki, Yuto",鈴木祐斗,4088846923.0,9784088846927.0,4,集英社,Paperback,184.0,2025.0,2025.0,2025/10/14,2025/10/14,"mangas, read-2025","mangas (#150), read-2025 (#44)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
239941434,SAKAMOTO DAYS 23,Yuto Suzuki,"Suzuki, Yuto",鈴木祐斗,4088846087.0,9784088846088.0,4,集英社,Paperback,184.0,2025.0,2025.0,2025/10/14,2025/10/12,"mangas, read-2025","mangas (#149), read-2025 (#43)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
232522344,SAKAMOTO DAYS 22,Yuto Suzuki,"Suzuki, Yuto",鈴木祐斗,4088845544.0,9784088845548.0,4,集英社,Paperback,192.0,2025.0,2025.0,2025/10/12,2025/10/12,"mangas, read-2025","mangas (#148), read-2025 (#42)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
235992115,"Sakamoto Days, Vol. 21",Yuto Suzuki,"Suzuki, Yuto",,1974762319.0,9781974762316.0,4,VIZ Media LLC,Paperback,200.0,2026.0,2025.0,2025/10/12,2025/10/12,"mangas, read-2025","mangas (#147), read-2025 (#41)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
235992189,"Sakamoto Days, Vol. 20",Yuto Suzuki,"Suzuki, Yuto",,1974762300.0,9781974762309.0,4,VIZ Media LLC,Paperback,200.0,2026.0,2025.0,2025/10/12,2025/10/12,"mangas, read-2025","mangas (#146), read-2025 (#40)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
224004536,"Sakamoto Days, Vol. 19",Yuto Suzuki,"Suzuki, Yuto",,1974759008.0,9781974759002.0,4,VIZ Media LLC,Paperback,192.0,2025.0,2024.0,2025/10/12,2025/10/12,"mangas, read-2025","mangas (#145), read-2025 (#39)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
220161050,"Sakamoto Days, Vol. 18",Yuto Suzuki,"Suzuki, Yuto",,1974755940.0,9781974755943.0,4,VIZ Media LLC,Paperback,200.0,2025.0,2024.0,2025/10/12,2025/10/12,"mangas, read-2025","mangas (#144), read-2025 (#38)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
220161117,"Sakamoto Days, Vol. 17",Yuto Suzuki,"Suzuki, Yuto",,1974755878.0,9781974755875.0,4,VIZ Media LLC,Paperback,184.0,2025.0,2024.0,2025/10/12,2025/10/12,"mangas, read-2025","mangas (#143), read-2025 (#37)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
214151474,"Sakamoto Days, Vol. 16",Yuto Suzuki,"Suzuki, Yuto",,1974752763.0,9781974752768.0,4,VIZ Media LLC,Paperback,192.0,2025.0,2024.0,2025/10/12,2025/10/11,"mangas, read-2025","mangas (#142), read-2025 (#36)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
214151605,"Sakamoto Days, Vol. 15",Yuto Suzuki,"Suzuki, Yuto",,1974751694.0,9781974751693.0,4,VIZ Media LLC,Paperback,192.0,2025.0,2024.0,2025/10/11,2025/10/11,"mangas, read-2025","mangas (#141), read-2025 (#35)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
207297944,"Sakamoto Days, Vol. 14",Yuto Suzuki,"Suzuki, Yuto",,1974749789.0,9781974749782.0,4,VIZ Media LLC,Paperback,192.0,2024.0,2023.0,2025/10/11,2025/10/11,"mangas, read-2025","mangas (#140), read-2025 (#34)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
207297606,"Sakamoto Days, Vol. 13",Yuto Suzuki,"Suzuki, Yuto",,197474888.0,9781974748884.0,4,VIZ Media LLC,Paperback,192.0,2024.0,2023.0,2025/10/11,2025/10/11,"mangas, read-2025","mangas (#139), read-2025 (#33)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
199798764,"Sakamoto Days, Vol. 12",Yuto Suzuki,"Suzuki, Yuto",,1974745899.0,9781974745890.0,4,VIZ Media LLC,Paperback,192.0,2024.0,2023.0,2025/10/11,2025/10/11,"mangas, read-2025","mangas (#138), read-2025 (#32)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
176443812,"Sakamoto Days, Vol. 11",Yuto Suzuki,"Suzuki, Yuto",,1974743667.0,9781974743667.0,4,VIZ Media LLC,Paperback,200.0,2024.0,2023.0,2025/10/11,2025/10/11,"mangas, read-2025","mangas (#137), read-2025 (#31)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
101159508,"Sakamoto Days, Vol. 10",Yuto Suzuki,"Suzuki, Yuto",,1974741133.0,9781974741137.0,4,VIZ Media LLC,Paperback,200.0,2023.0,2023.0,2025/10/11,2025/10/11,"mangas, read-2025","mangas (#136), read-2025 (#30)",read,,,,1,0,False,Descrição não disponível (API 404),"mangas, read-2025","mangas, read-2025|mangas, read-2025"
220161062,Changeover: A Young Rivalry and a New Era of Men's Tennis,Giri Nathan,"Nathan, Giri",,1668076241.0,9781668076248.0,4,Gallery Books,Hardcover,272.0,2025.0,,2025/09/06,2025/08/30,"nonfiction, read-2025","nonfiction (#12), read-2025 (#27)",read,,,,1,0,False,Descrição não disponível (API 404),"nonfiction, read-2025","nonfiction, read-2025|nonfiction, read-2025"
